Date,Indicador,Valor
1/1/2015,Temperatura,27.88
2/1/2015,Temperatura,28.06
3/1/2015,Temperatura,28.91
4/1/2015,Temperatura,28.13
5/1/2015,Temperatura,28
6/1/2015,Temperatura,27.68
7/1/2015,Temperatura,27.27
8/1/2015,Temperatura,27.38
9/1/2015,Temperatura,27.3
10/1/2015,Temperatura,27.8
11/1/2015,Temperatura,28.08
12/1/2015,Temperatura,28.94
13/1/2015,Temperatura,27.87
14/1/2015,Temperatura,28.6
15/1/2015,Temperatura,28.06
16/1/2015,Temperatura,27.61
17/1/2015,Temperatura,27.68
18/1/2015,Temperatura,27.22
19/1/2015,Temperatura,26.73
20/1/2015,Temperatura,25.92
21/1/2015,Temperatura,27.87
22/1/2015,Temperatura,27.05
23/1/2015,Temperatura,27.32
24/1/2015,Temperatura,26.51
25/1/2015,Temperatura,27.06
26/1/2015,Temperatura,27.22
27/1/2015,Temperatura,27.64
28/1/2015,Temperatura,26.41
29/1/2015,Temperatura,27.48
30/1/2015,Temperatura,27.01
31/1/2015,Temperatura,27
1/2/2015,Temperatura,28.15
2/2/2015,Temperatura,28.75
3/2/2015,Temperatura,28.44
4/2/2015,Temperatura,28.39
5/2/2015,Temperatura,27.6
6/2/2015,Temperatura,28.74
7/2/2015,Temperatura,28.12
8/2/2015,Temperatura,27.2
9/2/2015,Temperatura,25.93
10/2/2015,Temperatura,27.09
11/2/2015,Temperatura,27.83
12/2/2015,Temperatura,26.73
13/2/2015,Temperatura,27.54
14/2/2015,Temperatura,27.47
15/2/2015,Temperatura,27.8
16/2/2015,Temperatura,28.47
17/2/2015,Temperatura,27.84
18/2/2015,Temperatura,27.14
19/2/2015,Temperatura,28.66
20/2/2015,Temperatura,27.83
21/2/2015,Temperatura,26.64
22/2/2015,Temperatura,28.69
23/2/2015,Temperatura,28.78
24/2/2015,Temperatura,27.46
25/2/2015,Temperatura,28.01
26/2/2015,Temperatura,26.2
27/2/2015,Temperatura,27.28
28/2/2015,Temperatura,28.5
1/3/2015,Temperatura,28.28
2/3/2015,Temperatura,28.42
3/3/2015,Temperatura,28.42
4/3/2015,Temperatura,28.39
5/3/2015,Temperatura,29.22
6/3/2015,Temperatura,28.9
7/3/2015,Temperatura,28.06
8/3/2015,Temperatura,27.73
9/3/2015,Temperatura,28.08
10/3/2015,Temperatura,28.51
11/3/2015,Temperatura,28.73
12/3/2015,Temperatura,29.25
13/3/2015,Temperatura,28.58
14/3/2015,Temperatura,28.44
15/3/2015,Temperatura,28.45
16/3/2015,Temperatura,27.65
17/3/2015,Temperatura,28.37
18/3/2015,Temperatura,27.73
19/3/2015,Temperatura,27.73
20/3/2015,Temperatura,27.98
21/3/2015,Temperatura,27.76
22/3/2015,Temperatura,27.4
23/3/2015,Temperatura,27.73
24/3/2015,Temperatura,27.94
25/3/2015,Temperatura,29.07
26/3/2015,Temperatura,28.93
27/3/2015,Temperatura,28.26
28/3/2015,Temperatura,29.28
29/3/2015,Temperatura,29.59
30/3/2015,Temperatura,27.82
31/3/2015,Temperatura,28.29
1/4/2015,Temperatura,29.29
2/4/2015,Temperatura,29.29
3/4/2015,Temperatura,29.25
4/4/2015,Temperatura,29.26
5/4/2015,Temperatura,29.4
6/4/2015,Temperatura,29.06
7/4/2015,Temperatura,29.08
8/4/2015,Temperatura,29.28
9/4/2015,Temperatura,29.29
10/4/2015,Temperatura,29.67
11/4/2015,Temperatura,29.05
12/4/2015,Temperatura,29.43
13/4/2015,Temperatura,29.4
14/4/2015,Temperatura,29.54
15/4/2015,Temperatura,29.03
16/4/2015,Temperatura,30.08
17/4/2015,Temperatura,29.09
18/4/2015,Temperatura,29.63
19/4/2015,Temperatura,29.17
20/4/2015,Temperatura,29.1
